Informe de Errores;;;
Tipo : Acciones;;;
Pais : EEUU;;;
Fecha de creación: 10/1/2022;;;
;;;
Nombre;Ref.;URL;Mensaje
Tencent Holdings Ltd ;TCTZF ;https://es.investing.com/equities/tencent-holdings-hk?cid=53031 ;Error al cargar la pagina
JPMorgan Chase & Co ;JPM ;https://es.investing.com/equities/jp-morgan-chase ;TypeError: Cannot read property 'date' of undefined
Samsung Electronics Co Ltd ;SSNLF ;https://es.investing.com/equities/samsung-electronics-co-ltd?cid=104387 ;Error al cargar la pagina
Nestle SA ;NSRGF ;https://es.investing.com/equities/nestle-ag?cid=53030 ;Error al cargar la pagina
Bank of America Corp Pe ADR ;BAC_pe ;https://es.investing.com/equities/bank-of-america-corp-pe-adr ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp Pl Pref ;BAC_pl ;https://es.investing.com/equities/bank-of-america-corp-pl-pref ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp Pl ADR ;BML_pl ;https://es.investing.com/equities/bank-of-america-corp-pl-adr ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp Pm ;BAC_pm ;https://es.investing.com/equities/bank-of-america-corp-drc ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp ;BAC ;https://es.investing.com/equities/bank-of-america ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp Pg ADR ;BML_pg ;https://es.investing.com/equities/bank-of-america-corp-pg-adr ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp Ph ADR ;BML_ph ;https://es.investing.com/equities/bank-of-america-corp-ph-adr ;TypeError: Cannot read property 'date' of undefined
Bank of America Corp Pj ADR ;BML_pj ;https://es.investing.com/equities/bank-of-america-corp-pj-adr ;TypeError: Cannot read property 'date' of undefined
Roche Holding AG Participation ;RHHVF ;https://es.investing.com/equities/roche-hldg?cid=53057 ;Error al cargar la pagina
Alibaba Group Holding Ltd ;BABAF ;https://es.investing.com/equities/alibaba-group-holding-hk?cid=1177706 ;Error al cargar la pagina
ASML Holding NV ;ASMLF ;https://es.investing.com/equities/asml-holding?cid=15470 ;Error al cargar la pagina
Westpac Banking Corp ADR ;WBK ;https://es.investing.com/equities/westpac-banking ;TypeError: Cannot read property 'date' of undefined
Industrial Commercial Bank of China ;IDCBY ;https://es.investing.com/equities/industrial-commercial-bank-of-china ;TypeError: Cannot read property 'date' of undefined
Toyota Motor Corp ;TOYOF ;https://es.investing.com/equities/toyota-motor-corporation?cid=53018 ;Error al cargar la pagina
Prosus NV ;PROSF ;https://es.investing.com/equities/prosus?cid=1153077 ;Error al cargar la pagina
National Australia Bank Ltd ;NAUBF ;https://es.investing.com/equities/national-australia-bank-limited?cid=52979 ;Error al cargar la pagina
National Australia Bank Ltd ADR ;NABZY ;https://es.investing.com/equities/national-australia-bank-ltd ;TypeError: Cannot read property 'date' of undefined
AMP Ltd ;AMLTF ;https://es.investing.com/equities/amp-limited?cid=51066 ;Error al cargar la pagina
China Construction Bank Corp ;CICHF ;https://es.investing.com/equities/ccb?cid=52497 ;Error al cargar la pagina
China Construction Bank Corp ;CICHY ;https://es.investing.com/equities/china-construction-bank-corp ;TypeError: Cannot read property 'date' of undefined
Australia and New Zealand Banking Group Ltd ;ANEWF ;https://es.investing.com/equities/australia---nz-banking-grp-ltd?cid=52972 ;Error al cargar la pagina
Australia and New Zealand Banking Group Ltd ADR ;ANZBY ;https://es.investing.com/equities/au---nz-banking-group-ltd ;TypeError: Cannot read property 'date' of undefined
China Merchants Bank Co Ltd ;CIHKY ;https://es.investing.com/equities/china-merchants-bank-co-ltd ;TypeError: Cannot read property 'date' of undefined
China Merchants Bank Co Ltd ;CIHHF ;https://es.investing.com/equities/china-merchants-bank?cid=1177702 ;Error al cargar la pagina
National Art Exchange Inc ;NAEX ;https://es.investing.com/equities/tianhe-union-holdings-ltd ;Error: Evaluation failed: TypeError: Cannot read properties of undefined (reading 'innerText')
    at __puppeteer_evaluation_script__:16:44;;;
Wells Fargo & Co Pref L ;WFC_pl ;https://es.investing.com/equities/wells-fargo---co-pl-pref ;TypeError: Cannot read property 'date' of undefined
Wells Fargo & Company ;WFC ;https://es.investing.com/equities/wells-fargo ;TypeError: Cannot read property 'date' of undefined
Wells Fargo & Co Pq ADR ;WFC_pq ;https://es.investing.com/equities/wells-fargo---co-pq-adr ;TypeError: Cannot read property 'date' of undefined
Wells Fargo & Co Pref R ;WFC_pr ;https://es.investing.com/equities/wells-fargo---co-pr-adr ;TypeError: Cannot read property 'date' of undefined
